disorder	class	gene
Restrictive dermopathy, lethal	Dermatological	MADB
Retinal degeneration, autosomal recessive, clumped pigment type	Ophthamological	NRL
Retinal degeneration, autosomal recessive, clumped pigment type	Ophthamological	D14S46E
Retinal degeneration, autosomal recessive, clumped pigment type	Ophthamological	RP27
Retinal degeneration, autosomal recessive, prominin-related	Ophthamological	PROM1
Retinal degeneration, autosomal recessive, prominin-related	Ophthamological	PROML1
Retinal degeneration, autosomal recessive, prominin-related	Ophthamological	AC133
Retinal degeneration, late-onset, autosomal dominant	Ophthamological	C1QTNF5
Retinal degeneration, late-onset, autosomal dominant	Ophthamological	CTRP5
Retinal degeneration, late-onset, autosomal dominant	Ophthamological	LORD
Retinal dystrophy, early-onset severe	Ophthamological	LRAT
Retinitis pigmentosa-10	Ophthamological	IMPDH1
Retinitis pigmentosa-11	Ophthamological	PRPF31
Retinitis pigmentosa-11	Ophthamological	PRP31
Retinitis pigmentosa-1	Ophthamological	RP1
Retinitis pigmentosa-1	Ophthamological	ORP1
Retinitis pigmentosa-12, autosomal recessive	Ophthamological	CRB1
Retinitis pigmentosa-12, autosomal recessive	Ophthamological	RP12
Retinitis pigmentosa-13	Ophthamological	PRPF8
Retinitis pigmentosa-13	Ophthamological	PRPC8
Retinitis pigmentosa-13	Ophthamological	RP13
Retinitis pigmentosa-14	Ophthamological	TULP1
Retinitis pigmentosa-14	Ophthamological	RP14
Retinitis pigmentosa-17	Ophthamological	CA4
Retinitis pigmentosa-17	Ophthamological	RP17
Retinitis pigmentosa-18	Ophthamological	HPRP3
Retinitis pigmentosa-18	Ophthamological	RP18
Retinitis pigmentosa-19	Ophthamological	ABCA4
Retinitis pigmentosa-19	Ophthamological	ABCR
Retinitis pigmentosa-19	Ophthamological	STGD1
Retinitis pigmentosa-19	Ophthamological	FFM
Retinitis pigmentosa-19	Ophthamological	RP19
Retinitis pigmentosa-20	Ophthamological	RPE65
Retinitis pigmentosa-20	Ophthamological	RP20
Retinitis pigmentosa-2	Ophthamological	RP2
Retinitis pigmentosa-26	Ophthamological	CERKL
Retinitis pigmentosa-27	Ophthamological	NRL
Retinitis pigmentosa-27	Ophthamological	D14S46E
Retinitis pigmentosa-27	Ophthamological	RP27
Retinitis pigmentosa-30	Ophthamological	FSCN2
Retinitis pigmentosa-30	Ophthamological	RFSN
Retinitis pigmentosa-3	Ophthamological	RPGR
Retinitis pigmentosa-3	Ophthamological	RP3
Retinitis pigmentosa-3	Ophthamological	CRD
Retinitis pigmentosa-3	Ophthamological	RP15
Retinitis pigmentosa-3	Ophthamological	COD1
Retinitis pigmentosa-4, autosomal dominant	Ophthamological	RHO
Retinitis pigmentosa-4, autosomal dominant	Ophthamological	RP4
Retinitis pigmentosa-4, autosomal dominant	Ophthamological	OPN2
Retinitis pigmentosa-7	Ophthamological	RDS
Retinitis pigmentosa-7	Ophthamological	RP7
Retinitis pigmentosa-7	Ophthamological	PRPH2
Retinitis pigmentosa-7	Ophthamological	PRPH
Retinitis pigmentosa-7	Ophthamological	AVMD
Retinitis pigmentosa-7	Ophthamological	AOFMD
Retinitis pigmentosa-9	Ophthamological	RP9
Retinitis pigmentosa, AR	Ophthamological	RLBP1
Retinitis pigmentosa, AR, without hearing loss	Ophthamological	USH2A
Retinitis pigmentosa, autosomal dominant	Ophthamological	RGR
Retinitis pigmentosa, autosomal recessive	Ophthamological	CNGB1
Retinitis pigmentosa, autosomal recessive	Ophthamological	CNCG3L
Retinitis pigmentosa, autosomal recessive	Ophthamological	CNCG2
Retinitis pigmentosa, autosomal recessive	Ophthamological	CNGA1
Retinitis pigmentosa, autosomal recessive	Ophthamological	CNCG1
Retinitis pigmentosa, autosomal recessive	Ophthamological	PDE6A
Retinitis pigmentosa, autosomal recessive	Ophthamological	PDEA
Retinitis pigmentosa, autosomal recessive	Ophthamological	PDE6B
Retinitis pigmentosa, autosomal recessive	Ophthamological	PDEB
Retinitis pigmentosa, autosomal recessive	Ophthamological	CSNB3
Retinitis pigmentosa, autosomal recessive	Ophthamological	RGR
Retinitis pigmentosa, autosomal recessive	Ophthamological	RHO
Retinitis pigmentosa, autosomal recessive	Ophthamological	RP4
Retinitis pigmentosa, autosomal recessive	Ophthamological	OPN2
Retinitis pigmentosa, digenic	Ophthamological	ROM1
Retinitis pigmentosa, digenic	Ophthamological	ROSP1
Retinitis pigmentosa, digenic	Ophthamological	RDS
Retinitis pigmentosa, digenic	Ophthamological	RP7
Retinitis pigmentosa, digenic	Ophthamological	PRPH2
Retinitis pigmentosa, digenic	Ophthamological	PRPH
Retinitis pigmentosa, digenic	Ophthamological	AVMD
Retinitis pigmentosa, digenic	Ophthamological	AOFMD
Retinitis pigmentosa, juvenile	Ophthamological	AIPL1
Retinitis pigmentosa, juvenile	Ophthamological	LCA4
Retinitis pigmentosa, late onset	Ophthamological	NR2E3
Retinitis pigmentosa, late onset	Ophthamological	PNR
Retinitis pigmentosa, late onset	Ophthamological	ESCS
Retinitis pigmentosa, late-onset dominant	Ophthamological	CRX
Retinitis pigmentosa, late-onset dominant	Ophthamological	CORD2
Retinitis pigmentosa, late-onset dominant	Ophthamological	CRD
Retinitis pigmentosa, MERTK-related	Ophthamological	MERTK
Retinitis pigmentosa, X-linked with deafness and sinorespiratory infections	Ophthamological	RPGR
Retinitis pigmentosa, X-linked with deafness and sinorespiratory infections	Ophthamological	RP3
Retinitis pigmentosa, X-linked with deafness and sinorespiratory infections	Ophthamological	CRD
Retinitis pigmentosa, X-linked with deafness and sinorespiratory infections	Ophthamological	RP15
Retinitis pigmentosa, X-linked with deafness and sinorespiratory infections	Ophthamological	COD1
Retinitis pigmentosa, X-linked, with recurrent respiratory infections	Ophthamological	RPGR
Retinitis pigmentosa, X-linked, with recurrent respiratory infections	Ophthamological	RP3
Retinitis pigmentosa, X-linked, with recurrent respiratory infections	Ophthamological	CRD
Retinitis pigmentosa, X-linked, with recurrent respiratory infections	Ophthamological	RP15
Retinitis pigmentosa, X-linked, with recurrent respiratory infections	Ophthamological	COD1
Retinitis punctata albescens	Ophthamological	RDS
Retinitis punctata albescens	Ophthamological	RP7
Retinitis punctata albescens	Ophthamological	PRPH2
Retinitis punctata albescens	Ophthamological	PRPH
Retinitis punctata albescens	Ophthamological	AVMD
Retinitis punctata albescens	Ophthamological	AOFMD
Retinitis punctata albescens	Ophthamological	RLBP1
Retinoblastoma	Cancer	RB1
Retinol binding protein, deficiency of	Ophthamological	RBP4
Retinoschisis	Ophthamological	RS1
Retinoschisis	Ophthamological	XLRS1
Rett syndrome	Neurological	MECP2
Rett syndrome	Neurological	RTT
Rett syndrome	Neurological	PPMX
Rett syndrome	Neurological	MRX16
Rett syndrome	Neurological	MRX79
Rett syndrome, atypical	Neurological	CDKL5
Rett syndrome, atypical	Neurological	STK9
Rett syndrome, preserved speech variant	Neurological	MECP2
Rett syndrome, preserved speech variant	Neurological	RTT
Rett syndrome, preserved speech variant	Neurological	PPMX
Rett syndrome, preserved speech variant	Neurological	MRX16
Rett syndrome, preserved speech variant	Neurological	MRX79
Rhabdoid predisposition syndrome, familial	Cancer	SMARCB1
Rhabdoid predisposition syndrome, familial	Cancer	SNF5
Rhabdoid predisposition syndrome, familial	Cancer	INI1
Rhabdoid predisposition syndrome, familial	Cancer	RDT
Rhabdoid tumors	Cancer	SMARCB1
Rhabdoid tumors	Cancer	SNF5
Rhabdoid tumors	Cancer	INI1
Rhabdoid tumors	Cancer	RDT
Rhabdomyosarcoma	Cancer	SLC22A1L
Rhabdomyosarcoma	Cancer	BWSCR1A
Rhabdomyosarcoma	Cancer	IMPT1
Rhabdomyosarcoma, alveolar	Cancer	FOXO1A
Rhabdomyosarcoma, alveolar	Cancer	FKHR
Rhabdomyosarcoma, alveolar	Cancer	PAX3
Rhabdomyosarcoma, alveolar	Cancer	WS1
Rhabdomyosarcoma, alveolar	Cancer	HUP2
Rhabdomyosarcoma, alveolar	Cancer	CDHS
Rhabdomyosarcoma, alveolar	Cancer	PAX7
Rheumatoid arthritis, progression of	Connective tissue	IL10
Rheumatoid arthritis, progression of	Connective tissue	CSIF
Rheumatoid arthritis, susceptibility to	Connective tissue	MHC2TA
Rheumatoid arthritis, susceptibility to	Connective tissue	C2TA
Rheumatoid arthritis, susceptibility to	Connective tissue	NFKBIL1
Rheumatoid arthritis, susceptibility to	Connective tissue	PADI4
Rheumatoid arthritis, susceptibility to	Connective tissue	PADI5
Rheumatoid arthritis, susceptibility to	Connective tissue	PAD
Rheumatoid arthritis, susceptibility to	Connective tissue	PTPN8
Rheumatoid arthritis, susceptibility to	Connective tissue	PEP
Rheumatoid arthritis, susceptibility to	Connective tissue	PTPN22
Rheumatoid arthritis, susceptibility to	Connective tissue	LYP
Rheumatoid arthritis, susceptibility to	Connective tissue	RUNX1
Rheumatoid arthritis, susceptibility to	Connective tissue	CBFA2
Rheumatoid arthritis, susceptibility to	Connective tissue	AML1
Rheumatoid arthritis, susceptibility to	Connective tissue	SLC22A4
Rheumatoid arthritis, susceptibility to	Connective tissue	OCTN1
Rheumatoid arthritis, systemic juvenile, susceptibility to	Connective tissue	MIF
Rhizomelic chondrodysplasia punctata, type 1	multiple	PEX7
Rhizomelic chondrodysplasia punctata, type 1	multiple	RCDP1
Rhizomelic chondrodysplasia punctata, type 3	multiple	AGPS
Rhizomelic chondrodysplasia punctata, type 3	multiple	ADHAPS
Rh-mod syndrome	Hematological	RHAG
Rh-mod syndrome	Hematological	RH50A
Rh-negative blood type	Hematological	RHD
Rh-null disease, amorph type	Hematological	RHCE
Ribose 5-phosphate isomerase deficiency	Metabolic	RPIA
Ribose 5-phosphate isomerase deficiency	Metabolic	RPI
Rickets due to defect in vitamin D 25-hydroxylation	Bone	CYP2R1
Rickets, vitamin D-resistant, type IIA	Bone	VDR
Rickets, vitamin D-resistant, type IIB	Bone	VDR
Rieger anomaly	multiple	FOXC1
Rieger anomaly	multiple	FKHL7
Rieger anomaly	multiple	FREAC3
Rieger syndrome	multiple	PITX2
Rieger syndrome	multiple	IDG2
Rieger syndrome	multiple	RIEG1
Rieger syndrome	multiple	RGS
Rieger syndrome	multiple	IGDS2
Ring dermoid of cornea	Ophthamological	PITX2
Ring dermoid of cornea	Ophthamological	IDG2
Ring dermoid of cornea	Ophthamological	RIEG1
Ring dermoid of cornea	Ophthamological	RGS
Ring dermoid of cornea	Ophthamological	IGDS2
Rippling muscle disease	Muscular	CAV3
Rippling muscle disease	Muscular	LGMD1C
Roberts syndrome	Developmental	ESCO2
Robinow syndrome, autosomal recessive	multiple	ROR2
Robinow syndrome, autosomal recessive	multiple	BDB1
Robinow syndrome, autosomal recessive	multiple	BDB
Robinow syndrome, autosomal recessive	multiple	NTRKR2
Rokitansky-Kuster-Hauser syndrome	Developmental	WNT4
Rothmund-Thomson syndrome	multiple	RECQL4
Rothmund-Thomson syndrome	multiple	RTS
Rothmund-Thomson syndrome	multiple	RECQ4
Roussy-Levy syndrome	multiple	MPZ
Roussy-Levy syndrome	multiple	CMT1B
Roussy-Levy syndrome	multiple	CMTDI3
Roussy-Levy syndrome	multiple	CHM
Roussy-Levy syndrome	multiple	DSS
Roussy-Levy syndrome	multiple	PMP22
Roussy-Levy syndrome	multiple	CMT1A
Roussy-Levy syndrome	multiple	CMT1E
Roussy-Levy syndrome	multiple	DSS
Rubenstein-Taybi syndrome	multiple	CREBBP
Rubenstein-Taybi syndrome	multiple	CBP
Rubenstein-Taybi syndrome	multiple	RSTS
Rubinstein-Taybi syndrome	multiple	EP300
Saethre-Chotzen syndrome	Developmental	FGFR2
Saethre-Chotzen syndrome	Developmental	BEK
Saethre-Chotzen syndrome	Developmental	CFD1
Saethre-Chotzen syndrome	Developmental	JWS
Saethre-Chotzen syndrome	Developmental	TWIST
Saethre-Chotzen syndrome	Developmental	ACS3
Saethre-Chotzen syndrome	Developmental	SCS
Saethre-Chotzen syndrome with eyelid anomalies	Developmental	TWIST
Saethre-Chotzen syndrome with eyelid anomalies	Developmental	ACS3
Saethre-Chotzen syndrome with eyelid anomalies	Developmental	SCS
Salivary adenoma	Cancer	HMGA2
Salivary adenoma	Cancer	HMGIC
Salivary adenoma	Cancer	BABL
Salivary adenoma	Cancer	LIPO
Salla disease	Metabolic	SLC17A5
Salla disease	Metabolic	SIASD
Salla disease	Metabolic	SLD
Sandhoff disease, infantile, juvenile, and adult forms	Metabolic	HEXB
Sanfilippo syndrome, type A	Metabolic	SGSH
Sanfilippo syndrome, type A	Metabolic	MPS3A
Sanfilippo syndrome, type A	Metabolic	SFMD
Sanfilippo syndrome, type B	Metabolic	NAGLU
Sarcoidosis, early-onset	Immunological	CARD15
Sarcoidosis, early-onset	Immunological	NOD2
Sarcoidosis, early-onset	Immunological	IBD1
Sarcoidosis, early-onset	Immunological	CD
Sarcoidosis, early-onset	Immunological	ACUG
Sarcoidosis, early-onset	Immunological	PSORAS1
Sarcoidosis, susceptibility to	Immunological	BTNL2
Sarcoidosis, susceptibility to	Immunological	HLA-DR1B
Sarcoma, synovial	Cancer	SSX1
Sarcoma, synovial	Cancer	SSRC
Sarcoma, synovial	Cancer	SSX2
SARS, progression of	Immunological	ACE
SARS, progression of	Immunological	DCP1
SARS, progression of	Immunological	ACE1
Schimke immunoosseous dysplasia	Connective tissue	SMARCAL1
Schimke immunoosseous dysplasia	Connective tissue	HARP
Schimke immunoosseous dysplasia	Connective tissue	SIOD
Schindler disease, type I	Metabolic	NAGA
Schindler disease, type III	Metabolic	NAGA
Schizencephaly	Neurological	EMX2
Schizoaffective disorder, susceptibility to	Psychiatric	DISC1
Schizophrenia 5	Psychiatric	TRAR4
Schizophrenia, chronic	Psychiatric	APP
Schizophrenia, chronic	Psychiatric	AAA
Schizophrenia, chronic	Psychiatric	CVAP
Schizophrenia, chronic	Psychiatric	AD1
Schizophrenia, susceptibility to	Psychiatric	COMT
Schizophrenia, susceptibility to	Psychiatric	DISC1
Schizophrenia, susceptibility to	Psychiatric	HTR2A
Schizophrenia, susceptibility to	Psychiatric	RTN4R
Schizophrenia, susceptibility to	Psychiatric	NOGOR
Schizophrenia, susceptibility to	Psychiatric	SYN2
Schizophrenia, susceptibility to	Psychiatric	EPN4
Schizophrenia, susceptibility to	Psychiatric	EPNR
Schizophrenia, susceptibility to	Psychiatric	KIAA0171
Schizophrenia, susceptibility to	Psychiatric	SCZD1
Schizophrenia, susceptibility to, 4 600850	Psychiatric	PRODH
Schizophrenia, susceptibility to, 4 600850	Psychiatric	PRODH2
Schizophrenia, susceptibility to, 4 600850	Psychiatric	SCZD4
Schwannomatosis	Cancer	NF2
Schwartz-Jampel syndrome, type 1	multiple	HSPG2
Schwartz-Jampel syndrome, type 1	multiple	PLC
Schwartz-Jampel syndrome, type 1	multiple	SJS
Schwartz-Jampel syndrome, type 1	multiple	SJA
Schwartz-Jampel syndrome, type 1	multiple	SJS1
SCID, autosomal recessive, T-negative/B-positive type	Immunological	JAK3
SCID, autosomal recessive, T-negative/B-positive type	Immunological	JAKL
Sclerosteosis	Skeletal	SOST
Scurvy	Nutritional	GULOP
Scurvy	Nutritional	GULO
Sea-blue histiocyte disease	Hematological	APOE
Sea-blue histiocyte disease	Hematological	AD2
Seasonal affective disorder, susceptibility to	Psychiatric	HTR2A
Sebastian syndrome	Hematological	MYH9
Sebastian syndrome	Hematological	MHA
Sebastian syndrome	Hematological	FTNS
Sebastian syndrome	Hematological	DFNA17
Seckel syndrome 1	Developmental	ATR
Seckel syndrome 1	Developmental	FRP1
Seckel syndrome 1	Developmental	SCKL
Segawa syndrome, recessive	Neurological	TH
Segawa syndrome, recessive	Neurological	TYH
Seizures, afebrile	Neurological	SCN2A1
Seizures, afebrile	Neurological	SCN2A
Seizures, benign familial neonatal-infantile	Neurological	SCN2A1
Seizures, benign familial neonatal-infantile	Neurological	SCN2A
Selective T-cell defect	Immunological	ZAP70
Selective T-cell defect	Immunological	SRK
Selective T-cell defect	Immunological	STD
Self-healing collodion baby	Dermatological	TGM1
Self-healing collodion baby	Dermatological	ICR2
Self-healing collodion baby	Dermatological	LI1
SEMD, Pakistani type	Connective tissue	PAPSS2
SEMD, Pakistani type	Connective tissue	ATPSK2
Senior-Loken syndrome-1	Renal	NPHP1
Senior-Loken syndrome-1	Renal	NPH1
Senior-Loken syndrome-1	Renal	SLSN1
Senior-Loken syndrome 4	Renal	NPHP4
Senior-Loken syndrome 4	Renal	SLSN4
Senior-Loken syndrome 5	Renal	IQCB1
Senior-Loken syndrome 5	Renal	NPHP5
Senior-Loken syndrome 5	Renal	KIAA0036
Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	Ophthamological	POLG
Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	Ophthamological	POLG1
Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	Ophthamological	POLGA
Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	Ophthamological	PEO
Sepiapterin reductase deficiency	Metabolic	SPR
Sepsis, susceptibility to	Immunological	CASP12
Sepsis, susceptibility to	Immunological	CASP12P1
Septic shock, susceptibility to	Immunological	TNF
Septic shock, susceptibility to	Immunological	TNFA
Septooptic dysplasia	multiple	HESX1
Septooptic dysplasia	multiple	RPX
Sertoli cell-only syndrome, susceptibility to	Renal	USP26
Severe combined immunodeficiency, Athabascan type	Immunological	DCLRE1C
Severe combined immunodeficiency, Athabascan type	Immunological	ARTEMIS
Severe combined immunodeficiency, Athabascan type	Immunological	SCIDA
Severe combined immunodeficiency, B cell-negative	Immunological	RAG1
Severe combined immunodeficiency, B cell-negative	Immunological	RAG2
Severe combined immunodeficiency due to ADA deficiency	Immunological	ADA
Severe combined immunodeficiency due to PTPRC deficiency	Immunological	PTPRC
Severe combined immunodeficiency due to PTPRC deficiency	Immunological	CD45
Severe combined immunodeficiency due to PTPRC deficiency	Immunological	LCA
Severe combined immunodeficiency, T-cell negative, B-cell/natural killer cell-positive type	Immunological	IL7R
Severe combined immunodeficiency, T-negative/B-positive type	Immunological	CD3D
Severe combined immunodeficiency, T-negative/B-positive type	Immunological	T3D
Severe combined immunodeficiency, X-linked	Immunological	IL2RG
Severe combined immunodeficiency, X-linked	Immunological	SCIDX1
Severe combined immunodeficiency, X-linked	Immunological	SCIDX
Severe combined immunodeficiency, X-linked	Immunological	IMD4
Sex reversal, XY, with adrenal failure	Unclassified	FTZF1
Sex reversal, XY, with adrenal failure	Unclassified	FTZ1
Sex reversal, XY, with adrenal failure	Unclassified	SF1
Sezary syndrome	Cancer	BCL10
Shah-Waardenburg syndrome	multiple	EDN3
Short stature, autosomal dominant, with normal serum growth hormone binding protein	Skeletal	GHR
Short stature, idiopathic	Skeletal	GHR
Short stature, idiopathic familial	Skeletal	SHOX
Short stature, idiopathic familial	Skeletal	GCFX
Short stature, idiopathic familial	Skeletal	SS
Short stature, idiopathic familial	Skeletal	PHOG
Short stature, idiopathic familial	Skeletal	SHOXY
Short stature, pituitary and cerebellar defects, and small sella turcica	Skeletal	LHX4
Shprintzen-Goldberg syndrome	multiple	FBN1
Shprintzen-Goldberg syndrome	multiple	MFS1
Shprintzen-Goldberg syndrome	multiple	WMS
Shwachman-Diamond syndrome	multiple	SBDS
Shwachman-Diamond syndrome	multiple	SDS
Sialic acid storage disorder, infantile	Metabolic	SLC17A5
Sialic acid storage disorder, infantile	Metabolic	SIASD
Sialic acid storage disorder, infantile	Metabolic	SLD
Sialidosis, type I	Metabolic	NEU1
Sialidosis, type I	Metabolic	NEU
Sialidosis, type I	Metabolic	SIAL1
Sialidosis, type II	Metabolic	NEU1
Sialidosis, type II	Metabolic	NEU
Sialidosis, type II	Metabolic	SIAL1
Sialuria	Metabolic	GNE
Sialuria	Metabolic	GLCNE
Sialuria	Metabolic	IBM2
Sialuria	Metabolic	DMRV
Sialuria	Metabolic	NM
Sickle cell anemia	Hematological	HBB
Sick sinus syndrome	Cardiovascular	SCN5A
Sick sinus syndrome	Cardiovascular	LQT3
Sick sinus syndrome	Cardiovascular	IVF
Sick sinus syndrome	Cardiovascular	HB1
Sick sinus syndrome	Cardiovascular	SSS1
Silver spastic paraplegia syndrome	Neurological	BSCL2
Silver spastic paraplegia syndrome	Neurological	SPG17
Simpson-Golabi-Behmel syndrome, type 1	multiple	GPC3
Simpson-Golabi-Behmel syndrome, type 1	multiple	SDYS
Simpson-Golabi-Behmel syndrome, type 1	multiple	SGBS1
Sitosterolemia	Metabolic	ABCG5
Sitosterolemia	Metabolic	ABCG8
Situs ambiguus	Developmental	NODAL
Situs inversus viscerum	Developmental	DNAH11
Situs inversus viscerum	Developmental	DNAHC11
Sjogren-Larsson syndrome	Metabolic	ALDH3A2
Sjogren-Larsson syndrome	Metabolic	ALDH10
Sjogren-Larsson syndrome	Metabolic	SLS
Sjogren-Larsson syndrome	Metabolic	FALDH
Skin fragility-woolly hair syndrome	Dermatological	DSP
Skin fragility-woolly hair syndrome	Dermatological	KPPS2
Skin fragility-woolly hair syndrome	Dermatological	PPKS2
Slow acetylation	Metabolic	NAT2
Slow acetylation	Metabolic	AAC2
Slowed nerve conduction velocity, AD	Neurological	ARHGEF10
Slowed nerve conduction velocity, AD	Neurological	KIAA0294
Small patella syndrome	Skeletal	TBX4
SMED Strudwick type	Skeletal	COL2A1
Smith-Fineman-Myers syndrome	multiple	ATRX
Smith-Fineman-Myers syndrome	multiple	XH2
Smith-Fineman-Myers syndrome	multiple	XNP
Smith-Fineman-Myers syndrome	multiple	MRXS3
Smith-Fineman-Myers syndrome	multiple	SHS
Smith-Lemli-Opitz syndrome	multiple	DHCR7
Smith-Lemli-Opitz syndrome	multiple	SLOS
Smith-Magenis syndrome	multiple	RAI1
Smith-Magenis syndrome	multiple	SMCR
Smith-Magenis syndrome	multiple	SMS
Smith-McCort dysplasia	Skeletal	DYM
Smith-McCort dysplasia	Skeletal	FLJ90130
Smith-McCort dysplasia	Skeletal	DMC
Smith-McCort dysplasia	Skeletal	SMC
Solitary median maxillary central incisor	Skeletal	SHH
Solitary median maxillary central incisor	Skeletal	HPE3
Solitary median maxillary central incisor	Skeletal	HLP3
Solitary median maxillary central incisor	Skeletal	SMMCI
Somatotrophinoma	Endocrine	GNAS
Somatotrophinoma	Endocrine	GNAS1
Somatotrophinoma	Endocrine	GPSA
Somatotrophinoma	Endocrine	POH
Somatotrophinoma	Endocrine	PHP1B
Somatotrophinoma	Endocrine	PHP1A
Somatotrophinoma	Endocrine	AHO
Sorsby fundus dystrophy	Ophthamological	TIMP3
Sorsby fundus dystrophy	Ophthamological	SFD
Sotos syndrome	Developmental	NSD1
Sotos syndrome	Developmental	ARA267
Sotos syndrome	Developmental	STO
Spastic ataxia, Charlevoix-Saguenay type	Neurological	SACS
Spastic ataxia, Charlevoix-Saguenay type	Neurological	ARSACS
Spastic paralysis, infantile onset ascending	Neurological	ALS2
Spastic paralysis, infantile onset ascending	Neurological	ALSJ
Spastic paralysis, infantile onset ascending	Neurological	PLSJ
Spastic paralysis, infantile onset ascending	Neurological	IAHSP
Spastic paraplegia 10	Neurological	KIF5A
Spastic paraplegia 10	Neurological	NKHC
Spastic paraplegia 10	Neurological	SPG10
Spastic paraplegia-13	Neurological	HSPD1
Spastic paraplegia-13	Neurological	SPG13
Spastic paraplegia-13	Neurological	HSP60
Spastic paraplegia-2	Neurological	PLP1
Spastic paraplegia-2	Neurological	PMD
Spastic paraplegia-3A	Neurological	SPG3A
Spastic paraplegia-4	Neurological	SPG4
Spastic paraplegia-4	Neurological	SPAST
Spastic paraplegia-6	Neurological	NIPA1
Spastic paraplegia-6	Neurological	SPG6
Spastic paraplegia-7	Neurological	PGN
Spastic paraplegia-7	Neurological	SPG7
Spastic paraplegia-7	Neurological	CMAR
Spastic paraplegia-7	Neurological	CAR
Specific granule deficiency	Immunological	CEBPE
Specific granule deficiency	Immunological	CRP1
Speech-language disorder-1	Neurological	FOXP2
Speech-language disorder-1	Neurological	SPCH1
Speech-language disorder-1	Neurological	TNRC10
Speech-language disorder-1	Neurological	CAGH44
Spermatogenic failure, susceptibility to	Renal	DAZL
Spermatogenic failure, susceptibility to	Renal	DAZH
Spermatogenic failure, susceptibility to	Renal	SPGYLA
Spherocytosis-1	Hematological	SPTB
Spherocytosis-2	Hematological	ANK1
Spherocytosis-2	Hematological	SPH2
Spherocytosis, hereditary	Hematological	SLC4A1
Spherocytosis, hereditary	Hematological	AE1
Spherocytosis, hereditary	Hematological	EPB3
Spherocytosis, hereditary, Japanese type	Hematological	EPB42
Spherocytosis, recessive	Hematological	SPTA1
Spina bifida	Developmental	MTHFD
Spina bifida	Developmental	MTHFC
Spina bifida, risk of, 601634	Developmental	MTR
Spina bifida, risk of, 601634	Developmental	MTRR
Spinal and bulbar muscular atrophy of Kennedy	Muscular	AR
Spinal and bulbar muscular atrophy of Kennedy	Muscular	DHTR
Spinal and bulbar muscular atrophy of Kennedy	Muscular	TFM
Spinal and bulbar muscular atrophy of Kennedy	Muscular	SBMA
Spinal and bulbar muscular atrophy of Kennedy	Muscular	KD
Spinal and bulbar muscular atrophy of Kennedy	Muscular	SMAX1
Spinal muscrular atrophy, late-onset, Finkel type	Muscular	VAPB
Spinal muscrular atrophy, late-onset, Finkel type	Muscular	VAPC
Spinal muscrular atrophy, late-onset, Finkel type	Muscular	ALS8
Spinal muscular atrophy-1	Muscular	SMN1
Spinal muscular atrophy-1	Muscular	SMA1
Spinal muscular atrophy-1	Muscular	SMA2
Spinal muscular atrophy-1	Muscular	SMA3
Spinal muscular atrophy-1	Muscular	SMA4
Spinal muscular atrophy-2	Muscular	SMN1
Spinal muscular atrophy-2	Muscular	SMA1
Spinal muscular atrophy-2	Muscular	SMA2
Spinal muscular atrophy-2	Muscular	SMA3
Spinal muscular atrophy-2	Muscular	SMA4
Spinal muscular atrophy-3	Muscular	SMN1
Spinal muscular atrophy-3	Muscular	SMA1
Spinal muscular atrophy-3	Muscular	SMA2
Spinal muscular atrophy-3	Muscular	SMA3
Spinal muscular atrophy-3	Muscular	SMA4
Spinal muscular atrophy-4	Muscular	SMN1
Spinal muscular atrophy-4	Muscular	SMA1
Spinal muscular atrophy-4	Muscular	SMA2
Spinal muscular atrophy-4	Muscular	SMA3
Spinal muscular atrophy-4	Muscular	SMA4
Spinal muscular atrophy, distal, type V	Muscular	BSCL2
Spinal muscular atrophy, distal, type V	Muscular	SPG17
Spinal muscular atrophy, distal, type V	Muscular	GARS
Spinal muscular atrophy, distal, type V	Muscular	SMAD1
Spinal muscular atrophy, distal, type V	Muscular	CMT2D
Spinal muscular atrophy, juvenile	Muscular	HEXB
Spinal muscular atrophy with respiratory distress	Muscular	IGHMBP2
Spinal muscular atrophy with respiratory distress	Muscular	SMUBP2
Spinal muscular atrophy with respiratory distress	Muscular	CATF1
Spinal muscular atrophy with respiratory distress	Muscular	SMARD1
Spinocerebellar ataxia-10	Neurological	ATXN10
Spinocerebellar ataxia-10	Neurological	SCA10
Spinocerebellar ataxia-1	Neurological	ATXN1
Spinocerebellar ataxia-1	Neurological	ATX1
Spinocerebellar ataxia-1	Neurological	SCA1
Spinocerebellar ataxia 12	Neurological	PPP2R2B
Spinocerebellar ataxia 14	Neurological	PRKCG
Spinocerebellar ataxia 14	Neurological	PKCC
Spinocerebellar ataxia 14	Neurological	PKCG
Spinocerebellar ataxia 14	Neurological	SCA14
Spinocerebellar ataxia 17	Neurological	TBP
Spinocerebellar ataxia 17	Neurological	SCA17
Spinocerebellar ataxia-2	Neurological	ATXN2
Spinocerebellar ataxia-2	Neurological	ATX2
Spinocerebellar ataxia-2	Neurological	SCA2
Spinocerebellar ataxia 25	Neurological	SCA25
Spinocerebellar ataxia-27	Neurological	FGF14
Spinocerebellar ataxia-27	Neurological	FHF4
Spinocerebellar ataxia-27	Neurological	SCA27
